voted_for_in_2012_election,political_spectrum,gender,living_location,education,reltrad,social_class
Mitt Romney,3-Leaning Conservative,Female,rural,Postgraduate work/Degree,Other,Lower middle class
Did not vote,4-Moderate,Male,large-city,Postgraduate work/Degree,Catholic,UpperClass
Barack Obama,4-Moderate,Female,suburb,College graduate,No Affiliation,Upper middle class
Barack Obama,4-Moderate,Female,large-city,College graduate,Black Protestant,Middle class
Barack Obama,4-Moderate,Female,large-city,Less than high school (no diploma),Catholic,Middle class
Mitt Romney,4-Moderate,Female,large-city,Trade/Technical/Vocational training,Mainline Protestant,Lower middle class
Barack Obama,6-Liberal,Female,large-city,Postgraduate work/Degree,Mainline Protestant,Middle class
Barack Obama,4-Moderate,Female,small-city,Postgraduate work/Degree,Other,Lower middle class
Mitt Romney,2-Conservative,Female,rural,Postgraduate work/Degree,Evangelical Protestant,Middle class
Someone else,1-Extremely Conservative,Female,small-city,Trade/Technical/Vocational training,Evangelical Protestant,Middle class
Barack Obama,4-Moderate,Female,suburb,Postgraduate work/Degree,Evangelical Protestant,Middle class
Did not vote,4-Moderate,Female,suburb,Some college,Catholic,Lower middle class
Mitt Romney,2-Conservative,Male,rural,Some college,Catholic,Middle class
Did not vote,3-Leaning Conservative,Female,small-city,Postgraduate work/Degree,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Female,large-city,College graduate,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Female,large-city,College graduate,Black Protestant,Middle class
Barack Obama,7-Extremely liberal,Male,rural,Less than high school (no diploma),Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Male,large-city,Postgraduate work/Degree,No Affiliation,Middle class
Barack Obama,5-Leaning liberal,Female,suburb,College graduate,No Affiliation,Middle class
Did not vote,5-Leaning liberal,Female,small-city,High school graduate,Black Protestant,Lower class
Barack Obama,1-Extremely Conservative,Female,rural,Some college,Evangelical Protestant,Lower middle class
Did not vote,3-Leaning Conservative,Female,suburb,Postgraduate work/Degree,Catholic,Upper middle class
Barack Obama,4-Moderate,Female,dont-know,College graduate,Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Female,suburb,Some college,Evangelical Protestant,Middle class
,4-Moderate,Female,large-city,Some college,Evangelical Protestant,
Barack Obama,,Female,rural,High school graduate,Mainline Protestant,
Barack Obama,6-Liberal,Male,large-city,Some college,No Affiliation,Middle class
Did not vote,5-Leaning liberal,Female,large-city,Some college,No Affiliation,Middle class
,5-Leaning liberal,Male,suburb,Postgraduate work/Degree,Jewish,UpperClass
Barack Obama,4-Moderate,Female,suburb,College graduate,Evangelical Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,small-city,Some college,Evangelical Protestant,Middle class
Barack Obama,2-Conservative,Male,suburb,Some college,No Affiliation,Lower middle class
Someone else,2-Conservative,Male,suburb,High school graduate,Evangelical Protestant,Lower middle class
Barack Obama,6-Liberal,Female,large-city,High school graduate,Evangelical Protestant,Lower middle class
Barack Obama,4-Moderate,Female,large-city,Postgraduate work/Degree,Black Protestant,Lower middle class
Barack Obama,6-Liberal,Male,small-city,Postgraduate work/Degree,Catholic,Middle class
Barack Obama,4-Moderate,Female,small-city,Some college,Black Protestant,Lower middle class
Mitt Romney,4-Moderate,Female,small-city,Some college,Mainline Protestant,Middle class
Someone else,2-Conservative,Female,suburb,College graduate,Black Protestant,Middle class
Did not vote,5-Leaning liberal,Female,large-city,Some college,Catholic,Lower middle class
Barack Obama,6-Liberal,Female,small-city,College graduate,Other,Lower middle class
Mitt Romney,3-Leaning Conservative,Female,small-city,Trade/Technical/Vocational training,Evangelical Protestant,Lower middle class
Barack Obama,4-Moderate,Female,suburb,Postgraduate work/Degree,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Female,large-city,College graduate,Catholic,Middle class
Barack Obama,1-Extremely Conservative,Male,small-city,Some college,Catholic,Middle class
Did not vote,4-Moderate,Male,large-city,College graduate,Black Protestant,Middle class
Did not vote,4-Moderate,Female,large-city,Postgraduate work/Degree,Catholic,Lower middle class
Barack Obama,4-Moderate,Male,small-city,Less than high school (no diploma),Catholic,Middle class
Barack Obama,4-Moderate,,large-city,Less than high school (no diploma),Catholic,Lower middle class
Barack Obama,2-Conservative,Male,rural,Less than high school (no diploma),Catholic,Lower middle class
Barack Obama,6-Liberal,Female,large-city,Trade/Technical/Vocational training,Evangelical Protestant,Lower middle class
Did not vote,7-Extremely liberal,Female,large-city,High school graduate,Catholic,Lower middle class
Barack Obama,6-Liberal,Female,large-city,Postgraduate work/Degree,Catholic,Lower middle class
Did not vote,6-Liberal,Female,small-city,College graduate,Catholic,Middle class
Did not vote,1-Extremely Conservative,Female,large-city,High school graduate,Catholic,Lower middle class
Did not vote,4-Moderate,Male,small-city,Some college,Catholic,Lower class
Mitt Romney,2-Conservative,,,Trade/Technical/Vocational training,Evangelical Protestant,Lower class
Barack Obama,3-Leaning Conservative,Female,small-city,Some college,Catholic,Lower middle class
Did not vote,4-Moderate,Female,small-city,Some college,Evangelical Protestant,Middle class
Did not vote,4-Moderate,Female,large-city,College graduate,Evangelical Protestant,Lower class
Did not vote,2-Conservative,Male,dont-know,High school graduate,Catholic,Middle class
Did not vote,4-Moderate,Male,large-city,High school graduate,Evangelical Protestant,Middle class
Did not vote,1-Extremely Conservative,Male,suburb,Some college,Catholic,Lower middle class
Did not vote,4-Moderate,Male,large-city,High school graduate,Catholic,Lower middle class
Barack Obama,4-Moderate,Female,large-city,Less than high school (no diploma),Catholic,Middle class
Did not vote,4-Moderate,Female,large-city,Less than high school (no diploma),Catholic,Lower class
Did not vote,2-Conservative,Female,small-city,Less than high school (no diploma),Catholic,Middle class
Did not vote,,Female,rural,Less than high school (no diploma),Catholic,Lower middle class
Barack Obama,4-Moderate,Female,large-city,Trade/Technical/Vocational training,Catholic,Middle class
Barack Obama,4-Moderate,Male,small-city,High school graduate,Catholic,Lower middle class
Barack Obama,6-Liberal,Male,small-city,Postgraduate work/Degree,Catholic,Upper middle class
Barack Obama,2-Conservative,Male,small-city,Less than high school (no diploma),Catholic,Lower middle class
Barack Obama,4-Moderate,Female,large-city,Some college,Catholic,Middle class
Barack Obama,3-Leaning Conservative,Female,small-city,College graduate,Catholic,Upper middle class
Barack Obama,4-Moderate,Female,large-city,High school graduate,Catholic,Lower class
Did not vote,4-Moderate,Female,small-city,Some college,Other,Lower middle class
Barack Obama,6-Liberal,Male,large-city,College graduate,Catholic,Middle class
,,Female,suburb,Less than high school (no diploma),Catholic,
